Бунтующий принц, Бунтующего принца
Человек-сундук, Человека-сундука
Безрогий единорог, Безрого Единорога
Менестрель без слуха, Менестреля без слуха
Дракон, Дракона
Чёрный маг, Чёрного мага
Занудный паладин, Занудного паладина
Дерзкая воровка, Дерзкую воровку
Старый оруженосец, Старого оруженосца
Трехрогий минотавр, Трехрогого минотавра
Суровый наемник, Сурового наёмника
Молодой рыцарь, Молодого рыцаря
Глупый булочник, Глупого булочника
Заикающийся алхимик, Заикающегося алхимика
Гениальная чародейка, Гениальную чародейку
лягушка, лягушку
сундук, сундук
стрела, стрелу
Черного кот, чёрного кота
дракон, дракона
рычаг, рычаг
камень, камень
чёрный ворон, чёрного ворона
дверь, дверь
скелет, скелета
эльфийский клинок, эльфийский клинок
кольцо, кольцо
зелье, зелье
